,match_id,home_team,away_team
0,7581,Croatia,Denmark
1,7549,Nigeria,Iceland
2,7555,Poland,Colombia
3,7529,Croatia,Nigeria
4,7548,Brazil,Costa Rica
5,7534,Germany,Mexico
6,7562,Australia,Peru
7,7565,Serbia,Brazil
8,7571,Senegal,Colombia
9,7569,Panama,Tunisia
10,7568,Switzerland,Costa Rica
11,7530,France,Australia
12,7558,Uruguay,Russia
13,7583,Brazil,Mexico
14,8652,Russia,Croatia
15,7547,Denmark,Australia
16,7535,Costa Rica,Serbia
17,7546,France,Peru
18,7584,Belgium,Japan
19,7536,Belgium,Panama
20,7545,Argentina,Croatia
21,7580,France,Argentina
22,8650,Brazil,Belgium
23,8649,Uruguay,France
24,8658,France,Croatia
25,7561,Iceland,Croatia
26,7539,Poland,Senegal
27,7563,Denmark,France
28,7578,Egypt,Uruguay
29,7531,Argentina,Iceland
30,7582,Spain,Russia
31,7552,Belgium,Tunisia
32,7532,Peru,Denmark
33,7544,Uruguay,Saudi Arabia
34,7553,South Korea,Mexico
35,7560,Spain,Morocco
36,7533,Brazil,Switzerland
37,7564,Nigeria,Argentina
38,7556,Japan,Senegal
39,7559,Saudi Arabia,Egypt
40,7579,Uruguay,Portugal
41,7572,Japan,Poland
42,7577,Morocco,Iran
43,7543,Iran,Spain
44,7525,Russia,Saudi Arabia
45,7538,Sweden,South Korea
46,7576,Portugal,Spain
47,7542,Portugal,Morocco
48,7566,Mexico,Sweden
49,7557,Iran,Portugal
50,7554,England,Panama
51,7570,England,Belgium
52,7585,Colombia,England
53,7586,Sweden,Switzerland
54,8656,Croatia,England
55,8651,Sweden,England
56,7567,South Korea,Germany
57,7541,Colombia,Japan
58,8655,France,Belgium
59,8657,Belgium,England
60,7540,Russia,Egypt
61,7551,Germany,Sweden
62,7550,Serbia,Switzerland
63,7537,Tunisia,England
